"Product ID";"Tên";"Giá (chưa thuế.)";"Giá (bao gồm thuế)";"Số lượng";"Trạng thái"
"1";"Anker 735 Charger (GaNPrime 65W)";"53.991";"59.99";"1000";"0"
"2";"Anker 737 Charger (GaNPrime 120W)";"85.491";"94.99";"700";"0"
"3";"Anker 717 Charger (140W)";"89.991";"99.99";"500";"0"
"4";"Anker 747 Charger (GaNPrime 150W)";"107.991";"119.99";"500";"0"
"5";"Anker 735 Charger (Nano II 65W)";"53.991";"59.99";"1200";"0"
"6";"Anker 715 Charger (Nano II 65W)";"44.991";"49.99";"1200";"0"
"7";"Anker 736 Charger (Nano II 100W)";"71.991";"79.99";"500";"0"
"8";"Anker 726 Charger (Nano II 65W)";"44.991";"49.99";"500";"0"
"9";"Anker 711 Charger (Nano II 30W)";"30.591";"33.99";"700";"0"
"10";"Anker 713 Charger (Nano II 45W)";"35.991";"39.99";"800";"0"
"11";"Anker 737 Power Bank (PowerCore 24K)";"134.991";"149.99";"800";"0"
"12";"Anker 733 Power Bank (GaNPrime PowerCore 65W)";"89.991";"99.99";"800";"0"
"13";"Anker 737 Power Bank (PowerCore 26K for Laptop)";"143.991";"159.99";"900";"0"
"14";"Anker 747 Power Bank (PowerCore 26K for Laptop)";"179.991";"199.99";"500";"0"
"15";"Anker 622 Magnetic Battery (MagGo)";"53.991";"59.99";"700";"0"
"16";"Anker 633 Magnetic Battery";"71.991";"79.99";"700";"0"
"17";"Anker 621 Magnetic Battery (MagGo)";"44.991";"49.99";"500";"0"
"18";"Anker 521 Power Bank (PowerCore Fusion, 45W)";"62.991";"69.99";"700";"0"
"19";"Anker 525 Power Bank (PowerCore 20K)";"62.991";"69.99";"700";"0"
"20";"Anker 521 Magnetic Battery (PowerCore 5K)";"35.991";"39.99";"800";"0"
"21";"Anker 762 USB-C to Lightning Cable (3ft / 6ft Nylon)";"28.791";"31.99";"1100";"0"
"22";"Anker 765 USB-C to USB-C Cable (140W Nylon)";"28.791";"31.99";"1100";"0"
"23";"Anker 712 USB-C to USB-C Cable (16ft Fiber Optic for Oculus)";"58.491";"64.99";"1100";"0"
"24";"Anker 643 USB-C to USB-C Cable (Flow, Silicone)";"17.991";"19.99";"1100";"0"
"25";"Anker 641 USB-C to Lightning Cable (Flow, Silicone)";"19.791";"21.99";"1100";"0"
"26";"Anker 541 USB-C to Lightning Cable (Bio-Based)";"19.791";"21.99";"1100";"0"
"27";"Anker 543 USB-C to USB-C Cable (Bio-Based)";"15.291";"16.99";"1100";"0"
"28";"Anker 515 USB-C to USB-C Cable (USB4)";"29.691";"32.99";"1100";"0"
"29";"Anker 551 USB-A to Lightning Cable (10ft)";"20.691";"22.99";"1100";"0"
"30";"Anker 541 USB-C to Lightning Cable (1ft)";"17.091";"18.99";"1100";"0"
"31";"Anker 541 USB-A to Lightning Cable(3 ft, 2-Pack)";"20.691";"22.99";"1100";"0"
"32";"Anker 541 USB-A to Lightning Cable (6ft)";"13.491";"14.99";"1100";"0"
"33";"Anker 551 USB-A to Lightning Cable (10ft)";"20.691";"22.99";"1100";"0"
"34";"Anker Soundcore VR P10";"89.1";"99";"200";"0"
"35";"Anker Soundcore Liberty 4";"134.991";"149.99";"200";"0"
"36";"Anker Soundcore Sleep A10";"161.991";"179.99";"200";"0"
"37";"Anker Soundcore Space Q45";"134.991";"149.99";"200";"0"
"38";"Anker Soundcore Space A40";"89.991";"99.99";"200";"0"
"39";"Anker Soundcore Sport X10";"71.991";"79.99";"200";"0"
"40";"Anker Soundcore Liberty 2 Pro";"53.991";"59.99";"200";"0"
"41";"Anker Soundcore Life Q35";"116.991";"129.99";"200";"0"
"42";"Anker Soundcore Life Q30";"71.991";"79.99";"200";"0"
"43";"Garmin Bounce™ ";"125.991";"139.99";"150";"0"
"44";" Garmin Venu® Sq";"107.991";"119.99";"150";"0"
"45";"Garmin Lily™ - Sport Edition";"134.991";"149.99";"150";"0"
"46";"Garmin vívomove® Sport";"134.991";"149.99";"150";"0"
"47";"Garmin vívoactive® 4S";"161.991";"179.99";"150";"0"
"48";"Garmin Captain Marvel";"206.991";"229.99";"150";"0"
"49";"Garmin Darth Vader™";"206.991";"229.99";"150";"0"
"50";"Garmin Forerunner® 735XT";"116.991";"129.99";"150";"0"
"51";"Garmin Forerunner® 245 Music";"296.991";"329.99";"150";"0"
"52";"Garmin Forerunner® 45";"161.991";"179.99";"150";"0"
"53";"Garmin fēnix® 6 - Pro Solar Edition";"359.991";"399.99";"150";"0"
"54";"Garmin Instinct® – Esports Edition";"116.991";"129.99";"150";"0"
