"Product ID";"Active (0/1)";"Name *";"Categories (x,y,z...)";"Price tax excluded";"Tax rules ID";"Wholesale price";"On sale (0/1)";"Discount amount";"Discount percent";"Discount from (yyyy-mm-dd)";"Discount to (yyyy-mm-dd)";"Reference #";"Supplier reference #";"Supplier";"Manufacturer";"EAN13";"UPC";"Ecotax";"Width";"Height";"Depth";"Weight";"Delivery time of in-stock products";"Delivery time of out-of-stock products with allowed orders";"Quantity";"Minimal quantity";"Low stock level";"Send me an email when the quantity is under this level";"Visibility";"Additional shipping cost";"Unity";"Unit price";"Summary";"Description";"Tags (x,y,z...)";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Text when in stock";"Text when backorder allowed";"Available for order (0 = No, 1 = Yes)";"Product available date";"Product creation date";"Show price (0 = No, 1 = Yes)";"Image URLs (x,y,z...)";"Image alt texts (x,y,z...)";"Delete existing images (0 = No, 1 = Yes)";"Feature(Name:Value:Position)";"Available online only (0 = No, 1 = Yes)";"Condition";"Customizable (0 = No, 1 = Yes)";"Uploadable files (0 = No, 1 = Yes)";"Text fields (0 = No, 1 = Yes)";"Out of stock action";"Virtual product";"File URL";"Number of allowed downloads";"Expiration date";"Number of days";"ID / Name of shop";"Advanced stock management";"Depends On Stock";"Warehouse";"Acessories  (x,y,z...)"
"1";"1";"Adapter Dual Type C 35W Apple MNWP3";"Home, Chargers, Adapter, Apple";"66";"1";"59";"1";"";"";"";"";"";"";"";"Apple";"";"";"";"";"";"";"";"";"";"800";"1";"";"";"both";"10";"";"";"";"The 35W Dual USB-C Port Compact Power Adapter allows you to charge two devices at the same time, whether you’re at home, in the office, or on the go.
The compact size and folding prongs make it easy to pack and store.
";"apple, charger, adapter";"apple, charger, adapter";"apple, charger, adapter";"";"";"In Stock";"Current supply. Ordering availlable";"1";"";"";"1";"http://localhost/TGPK/img/p/1.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"1";"Wireless MagSafe Duo Charger Apple MHXF3";"Home, Chargers, Adapter, Apple";"166";"1";"149";"1";"";"";"";"";"";"";"";"Apple";"";"";"";"";"";"";"";"";"";"500";"1";"";"";"both";"10";"";"";"";"The MagSafe Duo Charger conveniently charges your compatible iPhone, Apple Watch, Wireless Charging Case for AirPods, and other Qi-certified devices.
Just place your devices on the charger and a steady, efficient charge begins on contact.
The charger folds together neatly so you can easily take it with you wherever you go.
What's in the Box: MagSafe Duo Charger, USB-C to Lightning Cable (1 m)
MagSafe Duo Charger can be used to wirelessly charge your iPhone 8 or later, Apple Watch, AirPods models with a wireless charging, as you would with any Qi-certified charger";"apple, charger, adapter";"apple, charger, adapter";"apple, charger, adapter";"";"";"In Stock";"Current supply. Ordering availlable";"1";"";"";"1";"http://localhost/TGPK/img/p/2.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"1";"Adapter Type C PD 45W Samsung EP-T4510X";"Home, Chargers, Adapter, Samsung";"41";"1";"37";"1";"";"";"";"";"";"";"";"Samsung";"";"";"";"";"";"";"";"";"";"1000";"1";"";"";"both";"10";"";"";"";"45W Power Adapter (w/ Cable C-to-C).Compatible devices:Samsung;iPhone;Google Pixle.Special Feature:Fast Charging.Input voltage: 240 volts";"samsung, charger, adapter";"samsung, charger, adapter";"samsung, charger, adapter";"";"";"In Stock";"Current supply. Ordering availlable";"1";"";"";"1";"http://localhost/TGPK/img/p/3.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"1";"Adapter USB Type C PD 65W Samsung EP-T6530";"Home, Chargers, Adapter, Samsung";"50";"1";"45";"1";"";"";"";"";"";"";"";"Samsung";"";"";"";"";"";"";"";"";"";"500";"1";"";"";"both";"10";"";"";"";"CHARGE 3 DEVICES: The Power Trio Adapter lets you charge three devices — all at the same time! Experience the power and versatility of a triple-port charger*
FAST & RELIABLE CHARGING: Go for the fast charge—with speed, stability and power; Power up a wide range of devices in a snap with Super-Fast Charging** and up to 65W total power output***
UNIVERSAL COMPATIBILITY: Maximize your charging time; Power up a wide range of devices from earbuds and laptops to phones and tablets";"samsung, charger, adapter";"samsung, charger, adapter";"samsung, charger, adapter";"";"";"In Stock";"Current supply. Ordering availlable";"1";"";"";"1";"http://localhost/TGPK/img/p/4.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"1";"Earpods Apple MNHF2";"Home, Headphone, Wired Headphone";"29";"1";"26";"1";"";"";"";"";"";"";"";"Apple";"";"";"";"";"";"";"";"";"";"400";"1";"";"";"both";"10";"";"";"";"Unlike traditional, circular earbuds, the design of the EarPods is defined by the geometry of the ear which makes them more comfortable for more people than any other earbud-style headphones
The speakers inside the EarPods have been engineered to maximize sound output and minimize sound loss, which means you get high-quality audio
The EarPods also include a built-in remote that lets you adjust the volume, control the playback of music and video, and answer or end calls with a pinch of the cord
The remote and mic are supported by all models of iPod, iPhone, and iPad (not all models support volume up/down functions). Audio is supported by all iPod models. Requires software version 1.0.3 for iPod nano (4th generation), 2.0.1 for iPod classic (120GB), and 2.2 or later for iPod touch (2nd";"apple, airpod";"apple, airpod";"apple, airpod";"";"";"In Stock";"Current supply. Ordering availlable";"1";"";"";"1";"http://localhost/TGPK/img/p/5.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"1";"AirPods 2 Lightning Charge Apple MV7N2";"Home, Headphone, Wireless Headphone";"141";"1";"127";"1";"";"";"";"";"";"";"";"Apple";"";"";"";"";"";"";"";"";"";"800";"1";"";"";"both";"10";"";"";"";"Quick access to Siri by saying “ Hey Siri ”
More than 24 hours total listening time with the Charging Case
Effortless setup, in-ear detection, and automatic switching for a magical experience
Easily share audio between two sets of AirPods on your iPhone, iPad, iPod touch, or Apple TV";"apple, airpod";"apple, airpod";"apple, airpod";"";"";"In Stock";"Current supply. Ordering availlable";"1";"";"";"1";"http://localhost/TGPK/img/p/6.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"1";"AirPods Pro MagSafe Charge Apple MLWK3";"Home, Headphone, Wireless Headphone";"225";"1";"203";"1";"";"";"";"";"";"";"";"Apple";"";"";"";"";"";"";"";"";"";"1000";"1";"";"";"both";"10";"";"";"";"Active Noise Cancellation blocks outside noise, so you can immerse yourself in music
Transparency mode for hearing and interacting with the world around you
Spatial audio with dynamic head tracking places sound all around you
Adaptive EQ automatically tunes music to your ears
Three sizes of soft, tapered silicone tips for a customizable fit
Force sensor lets you easily control your entertainment, answer or end calls, and more
Sweat and water resistant
More than 24 hours total listening time with the MagSafe Charging Case
Quick access to Siri by saying “Hey Siri”
Effortless setup, in-ear detection, and automatic switching for a magical experience. Connectivity- Bluetooth 5.0";"apple, airpod";"apple, airpod";"apple, airpod";"";"";"In Stock";"Current supply. Ordering availlable";"1";"";"";"1";"http://localhost/TGPK/img/p/7.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"1";"Bluetooth True Headphone Wireless Samsung Galaxy Buds 2 Pro R510N";"Home, Headphone, Wireless Headphone";"163";"1";"147";"1";"";"";"";"";"";"";"";"Samsung";"";"";"";"";"";"";"";"";"";"1000";"1";"";"";"both";"10";"";"";"";"ACTIVE NOISE CANCELLATION: Reduce unwanted noise with Galaxy Buds2 Pro; They use Intelligent Active Noise Cancellation* to quiet even the loudest outside sounds; Tune in to what matters most without being bothered by distracting sounds around you.Note : If the size of the earbud tips does not match the size of your ear canals or the headset is not worn properly in your ears, you may not obtain the correct sound qualities or call performance. Change the earbud tips to ones that fit more snugly in your ear
HI-FI SOUND QUALITY: Studio quality sound isn’t just for the pros; Feel every note like you’re there with Galaxy Buds2 Pro** and get a next-level listening experience, whether you’re rocking out to your playlist or staying informed with a podcast
ENHANCED 360-DEGREE AUDIO: Amplify what you like; Minimize what you don’t; Enhanced 360-degree audio** brings out the tones you love from every angle for a personalized surround sound experience every time you pop them in
EXCELLENT FIT: Pop ‘em in and forget they’re there; Galaxy Buds2 Pro are earbuds designed to be even more comfortable than before and fit securely no matter what you’re doing; Whether for your work or workout, make all your moves comfortably
HD VOICE TECHNOLOGY: Turn every call into a high definition chat; HD Voice Technology separates your voice from surrounding noise, so you come in crystal clear even with the hustle and bustle around you
INTELLIGENT CONVERSATION MODE: Keep the conversation going without taking out your earbuds; When your voice is detected, Intelligent Conversation Mode turns off Active Noise Cancellation, turns down the volume and puts your Buds in Ambient Mode***
WATER RESISTANT: Water won’t ruin your workout; Your IPX7 water-resistant Galaxy Buds2 Pro can keep the beat going even with a little rain; They’re protected for immersion up to 3 feet deep for a half-hour****";"Samsung, headphone, galaxy buds";"Samsung, headphone, galaxy buds";"Samsung, headphone, galaxy buds";"";"";"In Stock";"Current supply. Ordering availlable";"1";"";"";"1";"http://localhost/TGPK/img/p/8.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"1";"Bluetooth True Wireless Headphone Sony WF-1000XM3";"Home, Headphone, Wireless Headphone, Wired Headphone";"177";"1";"159";"1";"";"";"";"";"";"";"";"Sony";"";"";"";"";"";"";"";"";"";"500";"1";"";"";"both";"10";"";"";"";"Digital noise canceling: Industry leading anc lends a personalized, virtually soundproof experience. Phone call: A built-in mic enables you to take hands-free calls
Product Note : If the size of the earbud tips does not match the size of your ear canals or the headset is not worn properly in your ears, you may not obtain the correct sound qualities or call performance. Change the earbud tips to ones that fit more snugly in your ears
24bit Audio signal processing delivers dramatically improved sound quality
Battery life up to 24 hours with carrying case (with 10min quick charge for 90min of play time).Note:If you face issue in Bluetooth connectivity please turn off the Bluetooth function for a couple of minutes, then turn it back on
Easy and clear hands free calling; Leave your phone where it is, just speak with a double tap to the earbud
Truly wireless design with uninterrupted L/R simultaneous Bluetooth transmission
Alexa enabled for voice access to music, information, and more. Activate with a simple touch
Smart listening by adaptive sound control automatically switches to ambient sound mode based on your activity
Quick attention mode and wearing detection make conversations effortless
Sony, headphones connect app for Android/iOS to use smart listening technology to control your ambient sound settings";"Sony, headphone";"Sony, headphone";"Sony, headphone";"";"";"In Stock";"Current supply. Ordering availlable";"1";"";"";"1";"http://localhost/TGPK/img/p/9.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"1";"In ear wireless headphone WI-SP510";"Home, Headphone, Wireless Headphone";"79";"1";"71";"1";"";"";"";"";"";"";"";"Sony";"";"";"";"";"";"";"";"";"";"800";"1";"";"";"both";"10";"";"";"";"EXTRA BASS for deep, punchy sound
BLUETOOTH wireless technology
Easy hands-free calling and voice assistant
Water-resistant IPX5 rating design
Up to 15 hours long battery life";"Sony, headphone";"Sony, headphone";"Sony, headphone";"";"";"In Stock";"Current supply. Ordering availlable";"1";"";"";"1";"http://localhost/TGPK/img/p/10.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
